Deaths
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
3
5
11
17
22
28
33
41
37
62
29
48
61
38
30
36
39
36
44
36
31
30
34
29
27
29
31
49
41
33
43
26
38
33
31
28
24
25
34
17
19
23
14
14
13
10
7
5
4
4
2
2
2
1
2
0
2
0
0
